x,y,w0,w1,SSE,SST,SSR,R2,MSE,N
Shoe number,Height,10.121650695800781,4.05337381362915,15496.8388671875,53618.0703125,38121.15625,0.71097731590271,60.29898452758789,257
Height,Shoe number,9.639347076416016,0.17540374398231506,670.6026611328125,2320.2412109375,1649.638916015625,0.7109771966934204,2.609348773956299,257
Shoe number,Sex,-3.485924005508423,0.10560419410467148,29.594905853271484,55.47081756591797,25.875904083251953,0.4664779305458069,0.11515527218580246,257
Sex,Shoe number,36.469146728515625,4.417225360870361,1237.900146484375,2320.2412109375,1082.3397216796875,0.46647781133651733,4.816731929779053,257
Shoe number,Weight,-60.23020553588867,3.307011842727661,41355.46484375,66730.390625,25374.904296875,0.3802604079246521,160.91619873046875,257
Weight,Shoe number,31.4017391204834,0.1149861142039299,1437.9454345703125,2320.2412109375,882.296142578125,0.3802603483200073,5.595118522644043,257
Weight,Height,134.04214477539062,0.5138587355613708,35997.85546875,53618.0703125,17620.212890625,0.32862454652786255,140.06947326660156,257
Height,Weight,-38.473419189453125,0.6395231485366821,44801.14453125,66730.390625,21929.24609375,0.32862454652786255,174.32351684570312,257
Height,Sex,-2.002969264984131,0.01579139567911625,42.10017395019531,55.47081756591797,13.370641708374023,0.2410392165184021,0.16381390392780304,257
Sex,Height,159.75314331054688,15.263946533203125,40694.01171875,53618.0703125,12924.0400390625,0.2410392165184021,158.3424530029297,257
Weight,Sex,-0.056145064532756805,0.01052851416170597,48.07377624511719,55.47081756591797,7.397037506103516,0.13335013389587402,0.1870574951171875,257
Sex,Weight,61.7037239074707,12.665610313415527,57831.88671875,66730.390625,8898.49609375,0.13335007429122925,225.02679443359375,257
Age,Sex,0.8990910649299622,-0.007523754611611366,52.90346145629883,55.47081756591797,2.5673558712005615,0.04628300666809082,0.2058500498533249,257
Sex,Age,32.691368103027344,-6.151586055755615,43255.0078125,45354.12890625,2099.1279296875,0.04628288745880127,168.3074188232422,257
Weight,Age,17.666732788085938,0.15362682938575745,43779.2109375,45354.12890625,1574.9176025390625,0.0347248911857605,170.3471221923828,257
Age,Weight,63.94029235839844,0.22603437304496765,64413.18359375,66730.390625,2317.21240234375,0.0347248911857605,250.63494873046875,257
Age,Shoe number,39.72761535644531,-0.008197121322154999,2317.193603515625,2320.2412109375,3.0474720001220703,0.0013135075569152832,9.016317367553711,257
Shoe number,Age,34.80693435668945,-0.16023430228233337,45294.55859375,45354.12890625,59.57231903076172,0.0013134479522705078,176.24342346191406,257
Age,Height,169.23947143554688,0.03394785523414612,53565.80078125,53618.0703125,52.26872253417969,0.0009748339653015137,208.42724609375,257
Height,Age,23.591100692749023,0.028715159744024277,45309.921875,45354.12890625,44.21137237548828,0.0009747147560119629,176.30319213867188,257
